nome do filme,data lançamento,gênero,duração (min),origem,receita fim semana abertura,receita noite abertura,orçamento,custo marketing
MegaPik Paws: Origins,2019-05-24,animation,115,EUA-TX,29.2,10.12,35.59,21.66
Harmony,2022-07-15,romance,97,EUA-GA,9.24,3.39,5.49,2.4
Harmony: Afterlight,2019-04-05,romance,111,Brasil-RJ,15.11,3.6,21.91,10.39
Quantum,2011-10-13,sci-fi,143,Brasil-GO,28.52,9.56,28.62,16.46
Neon: Eclipse,2019-08-01,thriller,118,EUA-TX,18.85,5.27,46.32,15.45
Whisper: Afterlight,2014-10-17,drama,127,EUA-NM,7.43,2.98,4.77,1.16
Rift 4: Horizons,2017-04-07,sci-fi,125,Índia-WB,18.3,5.83,27.7,14.87
MegaPik Harmony,2021-08-20,romance,83,EUA-PA,13.57,4.1,19.53,9.69
Voyage,2011-10-13,adventure,120,EUA-NY,31.16,6.89,44.36,23.24
Chronicles,2013-02-25,fantasy,137,México-NLE,15.65,6.53,36.93,18.05
Rush,2019-02-15,action,121,EUA-NY,46.89,17.51,88.05,52.38
Voyage,2024-11-22,adventure,116,Brasil-CE,59.57,21.33,83.44,42.9
Chronicles: Revenant,2018-06-14,fantasy,116,EUA-PA,15.58,6.08,19.13,7.23
Embers 5: Uprising,2020-05-12,drama,109,EUA-CA,15.49,6.59,18.1,6.44
Rift: Revenant,2025-04-24,sci-fi,124,EUA-CA,23.86,11.9,33.43,22.39
Embers: Legacy,2017-05-05,drama,124,EUA-NY,15.2,6.64,45.12,11.27
Rift,2015-02-12,sci-fi,98,Índia-WB,30.37,9.67,50.46,26.1
Voyage,2018-06-13,adventure,127,México-MEX,21.79,6.92,17.55,13.53
Pulse: Eclipse,2014-09-26,action,130,EUA-NY,24.53,8.59,47.25,16.61
Storm,2021-05-14,action,118,Reino Unido-SCT,37.28,13.03,32.72,12.73
Frontier: Afterlight,2021-05-20,western,105,EUA-NY,11.33,4.0,18.39,7.42
Odyssey: Afterlight,2021-05-28,adventure,116,Japão-Osaka,47.44,15.76,49.46,27.15
Paws,2015-11-27,animation,88,EUA,38.74,10.58,50.53,21.53
Storm: Reckoning,2021-04-09,action,134,EUA-TX,9.07,3.92,9.9,7.6
Mirage 2,2018-08-21,thriller,113,Reino Unido-NIR,30.31,11.41,35.54,14.24
Eclipse 5,2021-03-12,sci-fi,122,EUA-GA,30.25,15.32,40.96,19.8
Pulse: Legacy,2016-08-22,action,85,EUA-NM,21.02,7.54,20.99,10.67
Quantum 2,2021-04-03,sci-fi,129,Brasil-GO,23.58,8.31,33.63,15.85
Rift,2020-10-15,sci-fi,118,EUA-TX,77.84,32.01,90.55,81.11
Chronicles: Eclipse,2019-03-12,fantasy,115,EUA-WA,12.96,3.05,47.86,12.43
MegaPik Quantum 4,2020-03-12,sci-fi,133,Brasil-RS,41.53,11.48,34.17,22.59
MegaPik Paws 2,2018-09-28,animation,86,Brasil,49.37,13.68,65.79,24.86
Embers: Legacy,2025-07-27,drama,111,EUA-TX,16.17,3.79,18.47,7.52
Whisper,2018-08-17,drama,94,EUA-IL,3.47,0.98,1.55,0.45
Aurora,2010-01-28,fantasy,137,EUA-NY,19.94,6.09,64.97,29.24
Frontier,2011-06-17,western,131,EUA-TX,10.93,3.44,13.71,6.34
Shadow: Origins,2013-11-08,thriller,100,Brasil-RS,15.47,6.27,16.47,8.05
Pulse: Horizons,2025-06-21,action,115,EUA-NY,18.72,4.94,45.75,18.62
Rift: Afterlight,2022-03-17,sci-fi,126,Austrália-VIC,42.89,13.51,72.11,52.67
Quantum,2022-06-10,sci-fi,116,Brasil-MG,50.84,9.31,43.61,32.72
Rush,2018-04-12,action,124,Japão-Kanagawa,20.74,9.41,35.53,12.61
Haunt: Legacy,2011-06-09,horror,88,Brasil-DF,1.2,0.27,0.63,0.33
